LHR Services,0005-0299(Long Haul),0300-0999(Short Haul),1000-1299(Other),1301-1499(Domestic),8580-8699(Other)
,,BA1495,GLA->LHR,"SHT7X, BAW1495"
,,BA1497,GLA->LHR,"SHT7A, BAW1497"
,,BA1498,LHR->GLA,"SHT6U, BAW1498"
,,BA1499,GLA->LHR,"SHT7B, BAW1499"
LGW Services
Country,City,Flight,Route,Call Signs
Qatar,Doha,BA2032,DOH->LGW,BAW2032
,,BA2033,LGW->DOH,BAW2033
United States,Orlando,BA2036,MCO->LGW,"BAW63H, BAW2036"
,,BA2037,LGW->MCO,"BAW43C, BAW2037"
South Africa,Cape Town,BA2040,CPT->LGW,BAW2040
,,BA2041,LGW->CPT,BAW2041
Mauritius,Plaisance,BA2064,MRU->LGW,BAW2064
,,BA2065,LGW->MRU,BAW2065
Ghana,Accra,BA2066,ACC->LGW,BAW2066
,,BA2067,LGW->ACC,BAW2067
Barbados,Bridgetown,BA2154,BGI->LGW,"BAW214B, BAW2154"
,,BA2155,LGW->BGI,BAW2155
Antigua and Barbuda,Antigua,BA2156,ANU->LGW,"BAW16PA, BAW2156"
,,BA2157,LGW->ANU,"BAW17PA, BAW2157"
Saint Lucia,Hewandorra,BA2158,UVF->LGW,"BAW5KW, BAW2158"
,,BA2159,LGW->UVF,"BAW9VA, BAW2159"
United States,Tampa,BA2166,TPA->LGW,"BAW12TB, BAW2166"
,,BA2167,LGW->TPA,"BAW12J, BAW2167"
Mexico,Cancun,BA2200,CUN->LGW,BAW2200
,,BA2202,CUN->LGW,BAW2202
,,BA2203,LGW->CUN,BAW2203
Dominican Republic,Punta Cana,BA2204,PUJ->LGW,BAW2204
,,BA2205,LGW->PUJ,"BAW22G, BAW2205"
United Kingdom,Edinburgh,BA2217,EDI->LCY,CFE2217
United States,Dallas-Fort Worth,BA2224,DFW->MSY,AAL2224
Costa Rica,San Jose,BA2236,SJO->LGW,BAW2236
,,BA2237,LGW->SJO,BAW2237
Trinidad and Tobago,Port-of-spain,BA2238,POS->LGW,BAW2238
,,BA2239,LGW->POS,BAW2239
Antigua and Barbuda,Antigua,BA2256,ANU->LGW,BAW2256
Jamaica,Kingston,BA2262,KIN->LGW,BAW25K
,,BA2263,LGW->KIN,"BAW23K, BAW2263"
United States,New York,BA2272,JFK->LGW,BAW2JA
,,BA2273,LGW->JFK,BAW2273
Switzerland,Geneva,BA2280,GVA->LCY,"CFE6GK, CFE2280"
,,BA2281,LCY->GVA,"CFE1AM, CFE2281"
,,BA2283,LCY->GVA,"CFE2283, CFE28A"
,,BA2284,GVA->LCY,CFE2284
,,BA2286,GVA->LCY,CFE2286
,,BA2287,LCY->GVA,"CFE5VZ, CFE2287"
France,Chambery,BA2340,CMF->EDI,CFE2340
United Kingdom,Edinburgh,BA2341,EDI->CMF,CFE2341
Netherlands,Amsterdam,BA2540,LGW->AMS,"EFW72R, EFW2540"
,,BA2541,AMS->LGW,"EFW89S, EFW2541"
,,BA2542,LGW->AMS,"EFW2542, EFW88K, EFW89S"
,,BA2543,AMS->LGW,"EFW52K, EFW2543"
,,BA2544,LGW->AMS,"EFW99F, EFW2544"
,,BA2545,AMS->LGW,"EFW38J, EFW2545"
,,BA2546,LGW->AMS,"EFW75D, EFW2546"
,,BA2547,AMS->LGW,"EFW2547, EFW64M"
Switzerland,Geneva,BA2550,LGW->GVA,"EFW45P, EFW2550"
,,BA2551,GVA->LGW,"EFW62P, EFW2551, EFW88K"
,,BA2552,LGW->GVA,"EFW4SJ, EFW2552"
,,BA2553,GVA->LGW,"EFW45D, EFW2553"
,,BA2554,LGW->GVA,"EFW79T, EFW2554"
,,BA2555,GVA->LGW,"EFW85W, EFW2555"
,,BA2556,LGW->GVA,EFW37G
,,BA2557,GVA->LGW,"EFW8TT, EFW2557"
,,BA2558,LGW->GVA,"EFW55K, EFW9BB, EFW2558"
,,BA2559,GVA->LGW,"EFW9BB, EFW2559"
,,BA2560,LGW->GVA,"EFW38W, EFW2560"
,,BA2561,GVA->LGW,"EFW4EE, EFW2561"
,,BA2562,LGW->GVA,EFW58U
,,BA2563,GVA->LGW,"EFW7UU, EFW2563"
,,BA2564,LGW->GVA,"EFW69F, EFW2564"
,,BA2565,GVA->LGW,"EFW3CC, EFW2565"
France,Bordeaux,BA2570,LGW->BOD,"EFW2570, EFW43G"
,,BA2571,BOD->LGW,"EFW65V, EFW2571"
,Nice,BA2574,LGW->NCE,"EFW5ZL, EFW2574"
,,BA2575,NCE->LGW,"EFW77I, EFW2575"
,Lyon,BA2580,LGW->LYS,"EFW79N, EFW2580"
,,BA2581,LYS->LGW,"EFW39T, EFW2581"
,,BA2582,LGW->LYS,"EFW72V, EFW2582"
,,BA2583,LYS->LGW,EFW87G
Italy,Villafranca,BA2590,LGW->VRN,"EFW54U, EFW2590"
,,BA2591,VRN->LGW,"EFW4TM, EFW2591"
,,BA2592,LGW->VRN,"EFW76T, EFW86X, EFW2592"
,,BA2593,VRN->LGW,"EFW86X, EFW2593"
,Torino,BA2594,LGW->TRN,"EFW57Z, EFW40R, EFW2594"
,,BA2595,TRN->LGW,EFW44G
,,BA2596,LGW->TRN,"EFW45Y, EFW2596"
,,BA2597,TRN->LGW,"EFW57G, EFW2597"
,,BA2598,LGW->TRN,"EFW97H, EFW2598"
,,BA2599,TRN->LGW,"EFW79U, EFW2599"
Malta,Malta,BA2614,LGW->MLA,"EFW87W, EFW2614"
,,BA2615,MLA->LGW,"EFW42N, EFW2615"
Austria,Innsbruck,BA2620,LGW->INN,"EFW2620, EFW82B"
,,BA2621,INN->LGW,"EFW93L, EFW2621"
,,BA2622,LGW->INN,"EFW54Z, EFW2622"
,,BA2623,INN->LGW,"EFW2623, EFW57Y"
,Salzburg,BA2624,LGW->SZG,"EFW96U, EFW2624"
,,BA2625,SZG->LGW,"EFW42Z, EFW2625"
,,BA2626,LGW->SZG,"EFW64F, EFW2626"
,,BA2627,SZG->LGW,"EFW44A, EFW2627"
,,BA2628,LGW->SZG,"EFW72E, EFW2628"
,,BA2629,SZG->LGW,"EFW65T, EFW2629"
,,BA2630,LGW->SZG,EFW68B
,,BA2631,SZG->LGW,EFW43K
,,BA2632,LGW->SZG,"EFW39D, EFW2632"
,,BA2633,SZG->LGW,"EFW56K, EFW2633"
Spain,Malaga,BA2640,LGW->AGP,"EFW92L, EFW2640"
,,BA2641,AGP->LGW,"EFW4GG, EFW2641"
,,BA2642,LGW->AGP,"EFW50U, EFW2642"
,,BA2643,AGP->LGW,"EFW93E, EFW2643"
,Sevilla,BA2650,LGW->SVQ,"EFW9LG, EFW2650"
,,BA2651,SVQ->LGW,"EFW86S, EFW2651"
,Alicante,BA2654,LGW->ALC,"EFW49S, EFW2654"
,,BA2655,ALC->LGW,"EFW2655, EFW96T"
,,BA2656,LGW->ALC,"EFW4LD, EFW2656"
,,BA2657,ALC->LGW,EFW48J
Portugal,Faro,BA2660,LGW->FAO,"EFW97D, EFW2660"
,,BA2661,FAO->LGW,"EFW40R, EFW2661"
,,BA2662,LGW->FAO,"EFW69B, EFW2662"
,,BA2663,FAO->LGW,"EFW64R, EFW2663"
,Porto,BA2666,LGW->OPO,"EFW77C, EFW2666"
,,BA2667,OPO->LGW,"EFW95B, EFW2667"
Spain,Palma de Mallorca,BA2670,LGW->PMI,"EFW9XT, EFW2670"
,,BA2671,PMI->LGW,"EFW4XV, EFW2671"
,Tenerife,BA2700,LGW->TFS,"EFW70X, EFW2700"
,,BA2701,TFS->LGW,"EFW4BK, EFW2701, EFW49K"
,,BA2702,LGW->TFS,"EFW82Y, EFW2702"
,,BA2703,TFS->LGW,"EFW2703, EFW78F"
,Arrecife,BA2704,LGW->ACE,"EFW75S, EFW2704"
,,BA2705,ACE->LGW,"EFW87V, EFW2705"
,Gran Canaria,BA2706,LGW->LPA,"EFW42K, EFW2706"
,,BA2707,LPA->LGW,"EFW47F, EFW2707"
,Fuerteventura,BA2710,LGW->FUE,"EFW75A, EFW53L"
,,BA2711,FUE->LGW,"EFW53L, EFW2711"
Cyprus,Paphos,BA2780,LGW->PFO,EFW78S
,,BA2781,PFO->LGW,"EFW55U, EFW2781"
Morocco,Marrakech,BA2810,LGW->RAK,"EFW80L, EFW2810"
,,BA2811,RAK->LGW,"EFW49H, EFW2811"
,,BA2812,LGW->RAK,EFW84H
,,BA2813,RAK->LGW,"EFW45N, EFW2813"
Egypt,Sharm El Sheikh,BA2814,LGW->SSH,"EFW38H, EFW2814"
,,BA2815,SSH->LGW,"EFW72Z, EFW2815"
Algeria,Algier,BA2816,LGW->ALG,EFW2816
,,BA2817,ALG->LGW,EFW2817
Southampton Services
Country,City,Flight,Route,Call Signs
United Kingdom,Edinburgh,BA2900,SOU->EDI,CFE2900
France,Chambery,BA2935,SOU->CMF,CFE2935
,,BA2936,CMF->SOU,CFE2936
United Kingdom,Edinburgh,BA2939,EDI->SOU,CFE2939
LCY Services
Country,City,Flight,Route,Call Signs
Germany,Duesseldorf,BA3270,DUS->LCY,CFE3270
,,BA3271,LCY->DUS,CFE1JB
,,BA3272,DUS->LCY,CFE3272
,,BA3273,LCY->DUS,"CFE1DB, CFE3273"
,,BA3274,DUS->LCY,"CFE21U, CFE3274"
,,BA3275,LCY->DUS,CFE3275
,,BA3276,DUS->LCY,"CFE75J, CFE3276"
,,BA3277,LCY->DUS,"CFE39P, CFE3277"
Italy,Florence,BA3279,LCY->FLR,"CFE3279, CFE56D"
,,BA3280,FLR->LCY,"CFE80NJ, CFE3280"
Temporary Services
Country,City,Flight,Route,Call Signs
United States,Dallas-Fort Worth,BA3548,DFW->GPT,ENY3548
Qatar,Doha,BA3599,DOH->LHR,BAW3599
United States,Shreveport,BA3861,SHV->DFW,ENY3861
,Miami,BA4052,MIA->MCI,ENY4052
,New Orleans,BA4170,MSY->MIA,ENY4170
Netherlands,Rotterdam,BA4450,RTM->LCY,CFE4450
,,BA4451,LCY->RTM,"CFE51PG, CFE4451"
,,BA4452,RTM->LCY,CFE4452
,,BA4453,LCY->RTM,"CFE4GA, CFE4453"
,,BA4454,RTM->LCY,"CFE40JP, CFE4454"
,,BA4455,LCY->RTM,CFE7LM
,,BA4456,RTM->LCY,"CFE3EW, CFE4456"
,,BA4457,LCY->RTM,"CFE59U, CFE4457"
,,BA4458,RTM->LCY,"CFE57H, CFE4458"
,,BA4459,LCY->RTM,"CFE43Y, CFE4459"
Ireland,Dublin,BA4460,LCY->DUB,"CFE9FB, CFE4460"
,,BA4461,DUB->LCY,"CFE77C, CFE4461"
,,BA4462,LCY->DUB,CFE91C
,,BA4463,DUB->LCY,"CFE4463, CFE48D"
,,BA4464,LCY->DUB,"CFE95E, CFE4464"
,,BA4465,DUB->LCY,"CFE9KJ, CFE4465"
,,BA4466,LCY->DUB,"CFE1JC, CFE4466"
,,BA4467,DUB->LCY,CFE4467
,,BA4468,LCY->DUB,"CFE4468, CFE37E"
,,BA4469,DUB->LCY,CFE9AJ
,,BA4470,LCY->DUB,CFE4470
,,BA4471,DUB->LCY,CFE4471
,,BA4472,LCY->DUB,CFE4472
,,BA4473,DUB->LCY,"CFE1RP, CFE4473"
United States,Dallas-Fort Worth,BA5557,DFW->SHV,JIA5557
,Shreveport,BA5618,SHV->DFW,JIA5618
Italy,Milan,BA5629,LHR->LIN,"BAW5629, BAW588L"
,,BA5630,LIN->LHR,"BAW5630, BAW14GM"
BA operated by Comair Services
Country,City,Flight,Route,Call Signs
More Temporary Services
Country,City,Flight,Route,Call Signs
CityFlyer Services
Country,City,Flight,Route,Call Signs
,Florence,BA7021,LCY->FLR,"CFE82DC, CFE7021"
,,BA7022,FLR->LCY,CFE7022
Germany,Berlin,BA7026,BER->LCY,CFE7026
,,BA7027,LCY->BER,CFE7027
Italy,Milan,BA7301,LCY->LIN,"CFE13Y, CFE7301"
,,BA7302,LIN->LCY,"CFE49G, CFE7302"
,,BA7303,LCY->LIN,CFE7303
,,BA7304,LIN->LCY,CFE7304
Spain,San Sebastian,BA7334,EAS->LCY,CFE7334
,,BA7335,LCY->EAS,CFE73W
Czech Republic,Prague,BA7338,PRG->LCY,"CFE46X, CFE7338"
,,BA7339,LCY->PRG,"CFE9MY, CFE7339"
LGW Short Haul Services
Country,City,Flight,Route,Call Signs
Denmark,Billund,BA8201,BLL->DUS,"SUS8201, SUS1D"
Germany,Duesseldorf,BA8202,DUS->BLL,"SUS8202, SUS2D"
Denmark,Billund,BA8203,BLL->DUS,SUS3D
Germany,Duesseldorf,BA8204,DUS->BLL,SUS4D
Denmark,Billund,BA8209,BLL->LCY,SUS8209
,,BA8210,LCY->BLL,SUS8210
,,BA8211,BLL->LCY,SUS8211
,,BA8212,LCY->BLL,SUS8212
Sweden,Gothenborg,BA8233,GOT->CBG,SUS8233
United Kingdom,Cambridge,BA8234,CBG->GOT,SUS8234
Sweden,Gothenborg,BA8237,GOT->CBG,SUS8237
United Kingdom,Cambridge,BA8238,CBG->GOT,SUS8238
Denmark,Billund,BA8245,BLL->MAN,"SUS8245, SUS45U"
United Kingdom,Manchester,BA8246,MAN->BLL,"SUS46U, SUS8246"
Denmark,Billund,BA8247,BLL->MAN,"SUS47U, SUS8247"
United Kingdom,Manchester,BA8248,MAN->BLL,"SUS48U, SUS8248"
Denmark,Billund,BA8281,BLL->GOT,"SUS81L, SUS8281"
,,BA8283,BLL->GOT,"SUS8283, SUS83L"
Sweden,Gothenborg,BA8284,GOT->BLL,"SUS84L, SUS8284"
Ireland,Dublin,BA8362,LCY->DUB,CFE8362
,,BA8364,LCY->DUB,CFE8364
,,BA8365,DUB->LCY,CFE8365
,,BA8367,DUB->LCY,CFE8367
,,BA8370,LCY->DUB,CFE8370
,,BA8372,LCY->DUB,CFE8372
,,BA8373,DUB->LCY,CFE8373
CityFlyer Services
Country,City,Flight,Route,Call Signs
Netherlands,Amsterdam,BA8450,AMS->LCY,"CFE19F, CFE8450"
,,BA8451,LCY->AMS,"CFE8WL, CFE8451"
,,BA8452,AMS->LCY,CFE8452
,,BA8453,LCY->AMS,CFE8453
,,BA8454,AMS->LCY,"CFE4D, CFE8454"
,,BA8455,LCY->AMS,"CFE23X, CFE8455"
,,BA8456,AMS->LCY,"CFE8456, CFE6CP"
,,BA8457,LCY->AMS,"CFE45A, CFE8457"
,,BA8458,AMS->LCY,"CFE88C, CFE8458"
,,BA8459,LCY->AMS,"CFE67W, CFE8459"
,,BA8460,AMS->LCY,CFE60M
Spain,Ibiza,BA8461,LCY->IBZ,"CFE17Z, CFE8461"
,,BA8462,IBZ->LCY,"CFE68D, CFE8462"
Italy,Florence,BA8471,LCY->FLR,"CFE71J, CFE8471"
,,BA8472,FLR->LCY,"CFE72JF, CFE8472"
Austria,Salzburg,BA8479,LCY->SZG,"CFE26J, CFE8479"
,,BA8480,SZG->LCY,CFE8480
Spain,Palma de Mallorca,BA8483,LCY->PMI,"CFE79SC, CFE8483"
,,BA8484,PMI->LCY,CFE48A
,Malaga,BA8487,LCY->AGP,"CFE23DB, CFE8487"
,,BA8488,AGP->LCY,"CFE88L, CFE8488"
Netherlands,Amsterdam,BA8489,LCY->AMS,"CFE89W, CFE8489"
Germany,Berlin,BA8490,BER->LCY,"CFE8N, CFE8490"
,,BA8491,LCY->BER,"CFE76JZ, CFE8491"
,,BA8492,BER->LCY,"CFE34E, CFE8492"
,,BA8493,LCY->BER,"CFE93AU, CFE8493"
,,BA8494,BER->LCY,"CFE39M, CFE8494"
,,BA8495,LCY->BER,CFE8495
Netherlands,Amsterdam,BA8496,AMS->LCY,"CFE8496, CFE96A"
,,BA8497,LCY->AMS,CFE8497
More LHR Services
Country,City,Flight,Route,Call Signs
Italy,Rome,BA8581,FCO->LHR,BAW8581
France,Lyon,BA8606,LHR->LYS,BAW8606
,,BA8607,LYS->LHR,BAW8607
,Grenoble,BA8608,LHR->GNB,BAW8608
,,BA8609,GNB->LHR,BAW8609
,Lyon,BA8625,LYS->LGW,EFW8625
,Grenoble,BA8629,GNB->LGW,EFW8629
CityFlyer Services
Country,City,Flight,Route,Call Signs
United Kingdom,Edinburgh,BA8700,LCY->EDI,"CFE1TJ, CFE8700"
,,BA8701,EDI->LCY,"CFE6Z, CFE8701"
,,BA8702,LCY->EDI,"CFE5C, CFE8702"
,,BA8703,EDI->LCY,"CFE2GH, CFE8703"
,,BA8704,LCY->EDI,CFE8704
,,BA8705,EDI->LCY,"CFE11A, CFE8705"
,,BA8706,LCY->EDI,CFE8706
,,BA8707,EDI->LCY,"CFE99B, CFE8707"
,,BA8708,LCY->EDI,"CFE1BJ, CFE8708"
,,BA8709,EDI->LCY,CFE8709
,,BA8710,LCY->EDI,CFE8710
,,BA8711,EDI->LCY,"CFE36P, CFE8711"
,,BA8713,EDI->LCY,"CFE8713, CFE56D"
,,BA8714,LCY->EDI,"CFE78PG, CFE8714"
,,BA8715,EDI->LCY,"CFE57J, CFE8715"
,,BA8716,LCY->EDI,"CFE98G, CFE8716"
,,BA8718,LCY->EDI,"CFE76D, CFE8718"
,,BA8719,EDI->LCY,"CFE18M, CFE8719"
,Glasgow,BA8720,LCY->GLA,CFE8720
,,BA8721,GLA->LCY,"CFE8721, CFE17N"
,,BA8722,LCY->GLA,"CFE18J, CFE8722"
,,BA8723,GLA->LCY,"CFE14K, CFE8723"
,,BA8724,LCY->GLA,CFE8724
,,BA8725,GLA->LCY,"CFE1ZF, CFE8725"
,,BA8726,LCY->GLA,"CFE31BT, CFE8726"
,,BA8727,GLA->LCY,"CFE8727, CFE69ZN"
,,BA8728,LCY->GLA,"CFE72AN, CFE8728"
,,BA8729,GLA->LCY,CFE8729
,,BA8730,LCY->GLA,"CFE93G, CFE8730"
Germany,Frankfurt,BA8731,FRA->LCY,"CFE88F, CFE8731"
,,BA8734,LCY->FRA,"CFE9VK, CFE8734"
,,BA8735,FRA->LCY,"CFE7GN, CFE8735"
,,BA8736,LCY->FRA,CFE8736
,,BA8737,FRA->LCY,CFE8737
,,BA8738,LCY->FRA,"CFE8738, CFE86NH"
United Kingdom,Glasgow,BA8739,GLA->LCY,CFE8739
France,Chambery,BA8741,LCY->CMF,"CFE64D, CFE8741"
,,BA8742,CMF->LCY,"CFE42B, CFE8742"
Germany,Berlin,BA8744,BER->LCY,"CFE34E, CFE8744"
United Kingdom,Belfast,BA8751,BHD->LCY,CFE53A
,,BA8752,LCY->BHD,"CFE75A, CFE8752"
,,BA8753,BHD->LCY,"CFE53NR, CFE8753"
,,BA8756,LCY->BHD,"CFE62N, CFE8756"
,,BA8757,BHD->LCY,CFE8757
,,BA8758,LCY->BHD,"CFE95C, CFE8758"
Spain,Barcelona,BA8759,LCY->BCN,CFE8759
,,BA8760,BCN->LCY,"CFE49N, CFE8760"
Germany,Frankfurt,BA8761,LCY->FRA,CFE8761
,,BA8762,FRA->LCY,CFE8762
Switzerland,Zurich,BA8763,LCY->ZRH,"CFE31L, CFE8763"
,,BA8764,ZRH->LCY,"CFE33T, CFE8764"
,,BA8765,LCY->ZRH,"CFE8765, CFE33T"
,,BA8766,ZRH->LCY,CFE8766
,,BA8767,LCY->ZRH,"CFE35B, CFE8767"
,,BA8768,ZRH->LCY,CFE8768
More LGW Services
Country,City,Flight,Route,Call Signs
Special Services
Country,City,Flight,Route,Call Signs
United Kingdom,London,BA9152,LHR->LGW,BAW9152
,,BA9153,LHR->LGW,BAW9153
,,BA9154,LGW->LHR,BAW9154
,Glasgow,BA9155,LHR->GLA,BAW9155
,,BA9156,LHR->GLA,BAW9156
,London,BA9157,LHR->LGW,BAW9157
,,BA9158,LGW->LHR,BAW9158
,Cardiff,BA9170,LHR->CWL,BAW9170
,London,BA9171,LHR->LGW,BAW9171
,,BA9172,LGW->LHR,BAW9172
,Cardiff,BA9173,LHR->CWL,BAW9173
,,BA9174,CWL->LGW,BAW9174
,,BA9175,CWL->LHR,BAW9175
,London,BA9176,LGW->LHR,BAW9176
,,BA9177,LGW->LHR,BAW9177
,Cardiff,BA9178,LGW->CWL,BAW9178
,,BA9179,CWL->LHR,BAW9179
United Arab Emirates,Dubai,BA9180,DXB->LHR,BAW9180
United Kingdom,London,BA9250,LHR->LGW,BAW9250
,,BA9251,LHR->LGW,BAW9251
Sweden,Gothenborg,BA9252,GOT->LHR,BAW9252
United Kingdom,Edinburgh,BA9253,EDI->LHR,BAW9253
,London,BA9254,LGW->LHR,BAW9254
,,BA9256,STN->LHR,BAW9256
Hungary,Budapest,BA9270,BUD->LGW,BAW9270
Ireland,Shannon,BA9271,SNN->LHR,BAW9271
,,BA9272,LHR->SNN,BAW9272
,,BA9273,SNN->LHR,BAW9273
United Kingdom,Glasgow,BA9274,LHR->GLA,BAW9274
,,BA9275,GLA->LHR,BAW9275
,,BA9276,GLA->LHR,BAW9276
Spain,Barcelona,BA9277,BCN->LHR,BAW9277
,Madrid,BA9278,MAD->LHR,BAW9278
United States,Boston,BA9601,BOS->LHR,BAW9601
,Miami,BA9602,LHR->MIA,"BAW3Z, BAW9602"
Canada,Montreal,BA9603,YUL->YYZ,BAW9603
United States,San Francisco,BA9604,SFO->LHR,BAW2X
Canada,Toronto,BA9605,YYZ->LHR,BAW9605
Brazil,Rio De Janeiro,BA9606,GIG->MAD,BAW248
Canada,Vancouver,BA9607,LHR->YVR,BAW9607
,,BA9608,YVR->LHR,BAW9608
Barbados,Bridgetown,BA9609,BGI->LGW,BAW9609
Ireland,Dublin,BA9750,LGW->DUB,BAW9750
United Kingdom,London,BA9760,LGW->LCY,CFE9760
Italy,Florence,BA9761,FLR->BER,CFE9761
United Kingdom,Exeter,BA9769,LCY->EXT,CFE9769
,Norwich,BA9770,NWI->LCY,CFE9770
,Glasgow,BA9999,GLA->,BAW9999
"Support Speedbird Online

Â© 2017-2024 Speedbird Online"
